product_id,name,description,price,quantity
FR001,Classic Round,Black round metal frame,85.99,50
FR002,Square Retro,Vintage square plastic frame,75.50,40
FR003,Aviator Gold,Gold metal aviator style,95.00,30
FR004,Cat Eye,Red plastic cat eye frame,65.75,45
FR005,Browline,Black and gold browline frame,105.50,25
FR006,Rectangle Metal,Slim rectangle metal frame,79.99,35
FR007,Oval Wire,Thin oval wire frame,89.25,30
FR008,Oversized Square,Large square plastic frame,110.00,20
FR009,Rimless Titanium,Lightweight rimless titanium,150.75,15
FR010,Sport Wrap,Durable wrap-around sport frame,95.50,25
